UID          PID    PPID  C STIME TTY          TIME CMD
gdm          882     858  0 Nov05 tty1     00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/128/at-spi/bus_0
champus+     917     626  0 Nov05 ?        00:00:00 /usr/libexec/at-spi-bus-launcher
champus+     929     917  0 Nov05 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus
champus+     950     626  0 Nov05 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
champus+     952     626  0 Nov05 ?        00:00:00 /usr/libexec/gvfsd
champus+     967     626  0 Nov05 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
gdm          977     812  0 Nov05 tty1     00:20:09 /usr/bin/gnome-shell
gdm         1042       1  0 Nov05 tty1     00:00:00 /usr/libexec/xdg-permission-store
root        1048       1  0 Nov05 ?        00:00:00 /usr/libexec/upowerd
root        1056       1  0 Nov05 ?        00:00:21 /usr/libexec/packagekitd
gdm         1058       1  0 Nov05 tty1     00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.Shell.Notifications
gdm         1062       1  0 Nov05 tty1     00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
gdm         1096     812  0 Nov05 tty1     00:00:01 /usr/libexec/gsd-sharing
gdm         1098     812  0 Nov05 tty1     00:00:00 /usr/libexec/gsd-wacom
gdm         1101     812  0 Nov05 tty1     00:00:28 /usr/libexec/gsd-color
gdm         1103     812  0 Nov05 tty1     00:00:00 /usr/libexec/gsd-keyboard
gdm         1106     977  0 Nov05 tty1     00:00:00 ibus-daemon --panel disable --xim
gdm         1107     812  0 Nov05 tty1     00:00:01 /usr/libexec/gsd-print-notifications
gdm         1109     812  0 Nov05 tty1     00:00:00 /usr/libexec/gsd-rfkill
gdm         1110     812  0 Nov05 tty1     00:00:00 /usr/libexec/gsd-smartcard
gdm         1112     812  0 Nov05 tty1     00:00:00 /usr/libexec/gsd-datetime
gdm         1116     812  0 Nov05 tty1     00:00:00 /usr/libexec/gsd-media-keys
gdm         1120     812  0 Nov05 tty1     00:00:00 /usr/libexec/gsd-screensaver-proxy
gdm         1122     812  0 Nov05 tty1     00:00:00 /usr/libexec/gsd-sound
gdm         1124     812  0 Nov05 tty1     00:00:00 /usr/libexec/gsd-a11y-settings
gdm         1127     812  0 Nov05 tty1     00:02:40 /usr/libexec/gsd-housekeeping
gdm         1131     812  0 Nov05 tty1     00:00:07 /usr/libexec/gsd-power
gdm         1171       1  0 Nov05 tty1     00:00:00 /usr/libexec/gvfsd
colord      1182       1  0 Nov05 ?        00:00:00 /usr/libexec/colord
gdm         1190    1106  0 Nov05 tty1     00:00:00 /usr/libexec/ibus-dconf
gdm         1198       1  0 Nov05 tty1     00:00:00 /usr/libexec/gsd-printer
gdm         1200       1  0 Nov05 tty1     00:00:00 /usr/libexec/ibus-portal
gdm         1232    1106  0 Nov05 tty1     00:00:00 /usr/libexec/ibus-engine-simple
gdm         1234       1  0 Nov05 tty1     00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.ScreenSaver
kernoops    2230       1  0 Nov05 ?        00:00:05 /usr/sbin/kerneloops --test
kernoops    2233       1  0 Nov05 ?        00:00:05 /usr/sbin/kerneloops
champus+   25549       1  0 Nov05 ?        00:00:13 /usr/bin/ibus-daemon --daemonize --xim
champus+   25556   25549  0 Nov05 ?        00:00:00 /usr/libexec/ibus-dconf
champus+   25557   25549  0 Nov05 ?        00:00:00 /usr/libexec/ibus-ui-gtk3
champus+   25560   25549  0 Nov05 ?        00:00:02 /usr/libexec/ibus-extension-gtk3
champus+   25562       1  0 Nov05 ?        00:00:00 /usr/libexec/ibus-x11 --kill-daemon
champus+   25566     626  0 Nov05 ?        00:00:00 /usr/libexec/ibus-portal
champus+   25577     626  0 Nov05 ?        00:01:36 /usr/libexec/xdg-desktop-portal
champus+   25583     626  0 Nov05 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gnome
champus+   25596     626  0 Nov05 ?        00:00:00 /usr/libexec/dconf-service
champus+   25614   25549  0 Nov05 ?        00:00:04 /usr/libexec/ibus-engine-simple
champus+   25624     626  0 Nov05 ?        00:00:00 /usr/libexec/gnome-session-ctl --monitor
